geometry/type,geometry/coordinates/0,geometry/coordinates/1,type,properties/state,properties/code,properties/name,properties/zone,properties/address,geometry
Point,78.65141943097115,20.74690547756532,Feature,Maharashtra,WARUD,Warud,CR,"Wardha, Maharashtra",
,,,Feature,,BVAC,BVAC,,,
,,,Feature,,BVBC,BVBC,,,
Point,79.84618068672717,10.686877168293023,Feature,Tamil Nadu,VLKN,Velankanni,?,"Velankanni, Tamil Nadu",
Point,81.112395,16.484823,Feature,Andhra Pradesh,PCU,PUTLACHERUVU,SCR,"Putlacheruvu, Andhra Pradesh",
Point,85.3090478906,25.892949366,Feature,,BNPT,BENNIPATTI PIRAPUR,,,
Point,76.573236,20.813007000000002,Feature,,JM,JALAMB JN,,,
Point,82.79406,18.346936,Feature,Andhra Pradesh,GPJ,Gorapur,ECoR,"Jeypore Rd, Andhra Pradesh",
Point,80.16618146561086,13.114499981582952,Feature,,ABEO,Pattaravakkam,SR,,
Point,76.690331,20.801724,Feature,,SEG,SHEGAON,,,
Point,80.1163395764,22.2718946035,Feature,Madhya Pradesh,GDU,Gudru Halt,SECR,"Lamta, Madhya Pradesh",
Point,87.95045644976199,23.458049719226736,Feature,West Bengal,BGNA,Balgona,ER,"Balgona, West Bengal",
Point,88.573216,23.206506,Feature,West Bengal,KLNP,Kalinarayanpur,ER,"Ranaghat-Bagula Bypass, West Bengal",
Point,76.755353,20.761640999999997,Feature,,NGZ,S K NAGJIHARI,,,
Point,76.815865,20.724519,Feature,,PS,PARAS,,,
Point,88.08753041,22.15295838,Feature,West Bengal,BRDB,Barda,SER,"Sutahata, West Bengal",
Point,76.890093,20.720684,Feature,,GAO,GAIGAON,,,
Point,79.468096,21.261121,Feature,,RRL,REWRAL,,,
Point,79.550792,21.242242,Feature,,KHAT,KHAT,,,
Point,79.64752299999999,21.238512,Feature,,BRD,BHANDARA ROAD,,,
Point,79.71240900000001,21.263021,Feature,,KOKA,KOKA,,,
Point,83.678086,21.857535000000002,Feature,,DAO,DAGHORA,,,
Point,83.742815,21.876503999999997,Feature,,HGR,HEMAGIRI,,,
Point,80.108853,22.425676,Feature,Madhya Pradesh,NIR,Nainpur Junction,SECR,"Nainpur, Madhya Pradesh",
Point,94.3939129431,26.7081333353,Feature,Assam,NCH,NAKACHARI,NFR,"Mariani, Assam",
